year,date,survey_day,nlanes,reach
2008,2008-07-24,2,3,6
2008,2008-07-24,2,3,7
2008,2008-07-24,2,3,8
2009,2009-07-15,1,3,1
2009,2009-07-15,1,3,2
2009,2009-07-15,1,3,3
2009,2009-07-15,1,3,4
2009,2009-07-16,2,3,1
2009,2009-07-16,2,3,2
2009,2009-07-16,2,3,3
2009,2009-07-16,2,3,4
2009,2009-07-17,3,3,1
2009,2009-07-17,3,3,2
2009,2009-07-17,3,3,3
2009,2009-07-17,3,3,4
2009,2009-07-16,2,3,5
2009,2009-07-16,2,3,6
2009,2009-07-16,2,3,7
2009,2009-07-16,2,3,8
2010,2010-07-20,1,3,1
2010,2010-07-20,1,3,2
2010,2010-07-20,1,3,3
2010,2010-07-20,1,3,4
2010,2010-07-21,2,3,1
2010,2010-07-21,2,3,2
2010,2010-07-21,2,3,3
2010,2010-07-21,2,3,4
2010,2010-07-22,3,3,1
2010,2010-07-22,3,3,2
2010,2010-07-22,3,3,3
2010,2010-07-22,3,3,4
2010,2010-07-21,2,3,5
2010,2010-07-21,2,3,6
2010,2010-07-21,2,3,7
2010,2010-07-21,2,3,8
2011,2011-07-27,1,3,1
2011,2011-07-27,1,3,2
2011,2011-07-27,1,3,3
2011,2011-07-27,1,3,4
2011,2011-07-28,2,3,1
2011,2011-07-28,2,3,2
2011,2011-07-28,2,3,3
2011,2011-07-28,2,3,4
2011,2011-07-29,3,3,1
2011,2011-07-29,3,3,2
2011,2011-07-29,3,3,3
2011,2011-07-29,3,3,4
2011,2011-07-28,2,3,5
2011,2011-07-28,2,3,6
2011,2011-07-28,2,3,7
2011,2011-07-28,2,3,8
2012,2012-07-25,1,3,1
2012,2012-07-25,1,3,2
2012,2012-07-25,1,3,3
2012,2012-07-25,1,3,4
2012,2012-07-26,2,2,1
2012,2012-07-26,2,2,2
2012,2012-07-26,2,2,3
2012,2012-07-26,2,2,4
2012,2012-07-26,2,3,5
2012,2012-07-26,2,3,6
2012,2012-07-26,2,3,7
2012,2012-07-26,2,3,8
2012,2012-07-27,3,3,1
2012,2012-07-27,3,3,2
2012,2012-07-27,3,3,3
2012,2012-07-27,3,3,4
2014,2014-07-30,1,3,1
2014,2014-07-30,1,3,2
2014,2014-07-30,1,3,3
2014,2014-07-30,1,3,4
2014,2014-07-31,2,3,1
2014,2014-07-31,2,3,2
2014,2014-07-31,2,3,3
2014,2014-07-31,2,3,4
2014,2014-08-01,3,3,1
2014,2014-08-01,3,3,2
2014,2014-08-01,3,3,3
2014,2014-08-01,3,3,4
2014,2014-07-31,2,3,5
2014,2014-07-31,2,3,6
2014,2014-07-31,2,3,7
2014,2014-07-31,2,3,8
2015,2015-07-22,1,3,1
2015,2015-07-22,1,3,2
2015,2015-07-22,1,3,3
2015,2015-07-22,1,3,4
2015,2015-07-23,2,3,1
2015,2015-07-23,2,3,2
2015,2015-07-23,2,3,3
2015,2015-07-23,2,3,4
2015,2015-07-24,3,3,1
2015,2015-07-24,3,3,2
2015,2015-07-24,3,3,3
2015,2015-07-24,3,3,4
2015,2015-07-23,2,3,5
2015,2015-07-23,2,3,6
2015,2015-07-23,2,3,7
2015,2015-07-23,2,3,8
2016,2016-07-13,1,3,1
2016,2016-07-13,1,3,2
2016,2016-07-13,1,3,3
2016,2016-07-13,1,3,4
2016,2016-07-14,2,3,1
2016,2016-07-14,2,3,2
2016,2016-07-14,2,3,3
2016,2016-07-14,2,3,4
2016,2016-07-15,3,3,1
2016,2016-07-15,3,3,2
2016,2016-07-15,3,3,3
2016,2016-07-15,3,3,4
2016,2016-07-14,2,3,5
2016,2016-07-14,2,3,6
2016,2016-07-14,2,3,7
2016,2016-07-14,2,3,8
2017,2017-07-24,1,3,1
2017,2017-07-24,1,3,2
2017,2017-07-24,1,3,3
2017,2017-07-24,1,3,4
2017,2017-07-25,2,3,1
2017,2017-07-25,2,3,2
2017,2017-07-25,2,3,3
2017,2017-07-25,2,3,4
2017,2017-07-26,3,3,1
2017,2017-07-26,3,3,2
2017,2017-07-26,3,3,3
2017,2017-07-26,3,3,4
2017,2017-07-24,1,3,5
2017,2017-07-24,1,3,6
2017,2017-07-24,1,3,7
2017,2017-07-24,1,3,8
2017,2017-07-25,2,3,5
2017,2017-07-25,2,3,6
2017,2017-07-25,2,3,7
2017,2017-07-25,2,3,8
2017,2017-07-26,3,3,5
2017,2017-07-26,3,3,6
2017,2017-07-26,3,3,7
2017,2017-07-26,3,3,8
2018,2018-07-30,1,3,1
2018,2018-07-30,1,3,2
2018,2018-07-30,1,3,3
2018,2018-07-30,1,3,4
2018,2018-07-31,2,3,1
2018,2018-07-31,2,3,2
2018,2018-07-31,2,3,3
2018,2018-07-31,2,3,4
2018,2018-07-31,2,3,5
2018,2018-07-31,2,3,6
2018,2018-07-31,2,3,7
2018,2018-07-31,2,3,8
2019,2019-07-16,1,3,1
2019,2019-07-16,1,3,2
2019,2019-07-16,1,3,3
2019,2019-07-16,1,3,4
2019,2019-07-17,2,3,1
2019,2019-07-17,2,3,2
2019,2019-07-17,2,3,3
2019,2019-07-17,2,3,4
2019,2019-07-18,3,3,1
2019,2019-07-18,3,3,2
2019,2019-07-18,3,3,3
2019,2019-07-18,3,3,4
2019,2019-07-17,2,3,5
2019,2019-07-17,2,3,6
2019,2019-07-17,2,3,7
2019,2019-07-17,2,3,8
2020,2020-07-29,1,3,1
2020,2020-07-29,1,3,2
2020,2020-07-29,1,3,3
2020,2020-07-29,1,3,4
2020,2020-07-30,2,3,1
2020,2020-07-30,2,3,2
2020,2020-07-30,2,3,3
2020,2020-07-30,2,3,4
2020,2020-07-30,2,3,5
2020,2020-07-30,2,3,6
2020,2020-07-30,2,3,7
2020,2020-07-30,2,3,8
2021,2021-07-20,1,3,1
2021,2021-07-20,1,3,2
2021,2021-07-20,1,3,3
2021,2021-07-20,1,3,4
2021,2021-07-21,2,3,1
2021,2021-07-21,2,3,2
2021,2021-07-21,2,3,3
2021,2021-07-21,2,3,4
2021,2021-07-22,3,3,1
2021,2021-07-22,3,3,2
2021,2021-07-22,3,3,3
2021,2021-07-22,3,3,4
2021,2021-07-21,2,3,5
2021,2021-07-21,2,3,6
2021,2021-07-21,2,3,7
2021,2021-07-21,2,3,8
2022,2022-08-08,1,3,1
2022,2022-08-08,1,3,2
2022,2022-08-08,1,3,3
2022,2022-08-08,1,3,4
2022,2022-08-09,2,3,1
2022,2022-08-09,2,3,2
2022,2022-08-09,2,3,3
2022,2022-08-09,2,3,4
2022,2022-08-10,3,3,1
2022,2022-08-10,3,3,2
2022,2022-08-10,3,3,3
2022,2022-08-10,3,3,4
2022,2022-08-09,2,3,5
2022,2022-08-09,2,3,6
2022,2022-08-09,2,3,7
2022,2022-08-09,2,3,8
